Timestamp,Latitud,Longitud,Altitud,SNR,RSSI,Tipo
"2025-07-25T10:54:31.383Z",42.6143,-5.56294,851,0,-105,interior
"2025-07-25T08:09:46.863Z",42.61453,-5.5631,850,6.75,-99,
"2025-07-25T08:09:52.093Z",42.61453,-5.5631,850,7,-93,
"2025-07-25T08:28:52.181Z",42.61453,-5.5631,850,9.25,-95,
"2025-07-25T08:32:44.624Z",42.61496,-5.56401,844,4.75,-94,
"2025-07-25T10:20:53.553Z",42.61453,-5.5631,850,8.25,-86,
"2025-07-25T10:22:51.112Z",42.6151,-5.56299,842,10,-81,
"2025-07-25T10:25:38.805Z",42.61534,-5.56297,848,9.5,-86,
"2025-07-25T10:27:08.5Z",42.61596,-5.56285,845,7,-93,
"2025-07-25T10:28:35.604Z",42.61684,-5.56289,832,5,-92,
"2025-07-25T10:29:48.023Z",42.61773,-5.56254,844,8,-86,
"2025-07-25T10:31:02.193Z",42.61817,-5.56252,846,7,-91,
"2025-07-25T10:32:19.329Z",42.61843,-5.5635,849,8.75,-89,
"2025-07-25T10:33:31.663Z",42.6181,-5.564,849,6,-89,
"2025-07-25T10:34:44.982Z",42.61734,-5.56432,852,8.5,-91,
"2025-07-25T10:37:19.947Z",42.61687,-5.56469,849,9.5,-73,
"2025-07-25T10:38:22.906Z",42.61687,-5.56469,849,6.75,-73,
"2025-07-25T10:39:37.598Z",42.616,-5.56585,860,7,-97,
"2025-07-25T10:40:29.054Z",42.61555,-5.56616,853,9.75,-83,
"2025-07-25T10:41:19.617Z",42.61501,-5.56648,853,9.5,-85,
"2025-07-25T10:43:11.823Z",42.61393,-5.56633,862,4.75,-98,
"2025-07-25T10:44:27.823Z",42.6134,-5.56566,856,5.5,-99,
"2025-07-25T10:45:38.381Z",42.61313,-5.56468,855,5.5,-97,
"2025-07-25T10:46:54.512Z",42.61282,-5.5636,852,-0.75,-92,
"2025-07-25T10:48:06.809Z",42.61325,-5.56315,852,7.75,-94,
"2025-07-25T10:49:54.681Z",42.61365,-5.56306,848,7.75,-95,
"2025-07-25T10:51:09.082Z",42.6143,-5.56294,851,5.5,-101,
"2025-07-25T10:52:51.769Z",42.61485,-5.56342,851,8.25,-95,
